Participant,Time to Receive,Size of Message,Data size on server
participant2,1364,1,
participant1,914,1,
participant3,187,1,
participant2,115,1,
participant2,87,1,
participant1,142,1,
participant2,116,1,
participant2,69,1,
participant1,48,1,
participant3,62,1,
participant2,57,1,
participant2,63,1,
participant1,58,1,
participant2,69,1,
participant2,63,1,
participant1,59,1,
participant3,46,1,
participant2,67,1,
participant2,51,1,
participant1,84,1,
participant2,28,1,
participant2,583,1,
participant1,667,1,
participant3,79,1,
participant2,86,1,
participant2,48,1,
participant1,127,1,
participant2,88,1,
participant2,300,1,
participant1,259,1,
participant3,53,1,
participant2,234,1,
participant2,128,1,
participant1,163,1,
participant2,61,1,
participant2,157,1,
participant1,219,1,
participant3,74,1,
participant2,154,1,
participant2,237,1,
participant1,247,1,
participant2,75,1,
participant2,110,1,
participant2,158,1,
participant1,119,1,
participant2,592,1,
participant1,659,1,
participant3,110,1,
participant2,109,1,
participant2,46,1,
participant1,162,1,
participant2,132,1,
participant2,92,1,
participant1,59,1,
participant3,62,1,
participant2,65,1,
participant2,53,1,
participant1,70,1,
participant2,52,1,
