Participant,Time to Send,Unencrypted Msg Length, Encrypted Msg Length,Size of Message,
participant3 to 8102,2595,117,344,1,Run 1- after machine restart
participant3 to 8101,1716,117,344,1,
participant4 to 8103,946,117,344,1,
participant4 to 8102,385,117,344,1,
participant5 to 8102,969,117,344,1,
participant5 to 8101,300,117,344,1,
participant1 to 8102,288,117,344,1,end of run 1
participant3 to 8102,15301,117,344,1,Run 2
participant3 to 8101,15222,117,344,1,
participant4 to 8103,15163,117,344,1,
participant4 to 8102,15247,117,344,1,
participant5 to 8102,15258,117,344,1,
participant5 to 8101,15235,117,344,1,
participant1 to 8102,15219,117,344,1,
participant3 to 8102,15201,117,344,1,Run 3- restarted blockchain
participant3 to 8101,15242,117,344,1,
participant4 to 8103,15164,117,344,1,
participant4 to 8102,15273,117,344,1,
participant5 to 8102,15161,117,344,1,
participant5 to 8101,15248,117,344,1,
participant1 to 8102,15223,117,344,1,
participant3 to 8102,17258,117,344,1,Run 4- after restarting java and blockchain.
participant3 to 8101,16286,117,344,1,
participant4 to 8103,15917,117,344,1,
participant4 to 8102,15284,117,344,1,
participant5 to 8102,15776,117,344,1,
participant5 to 8101,15271,117,344,1,
participant1 to 8102,15352,117,344,1,
participant3 to 8102,17228,117,344,1,
participant3 to 8101,15767,117,344,1,
participant4 to 8103,15471,117,344,1,
participant4 to 8102,15518,117,344,1,
participant5 to 8102,15675,117,344,1,
participant5 to 8101,15485,117,344,1,
participant1 to 8102,15367,117,344,1,
participant3 to 8102,30481,117,344,1,
participant3 to 8101,45421,117,344,1,
participant4 to 8103,15275,117,344,1,
participant4 to 8102,30514,117,344,1,
participant5 to 8102,15437,117,344,1,
participant5 to 8101,15537,117,344,1,
participant1 to 8102,15530,117,344,1,
